time,event,entry,pHCl,pH2SO4,HNO3
50.00,0.00,20.00,0.65,1.51,0.18
30.00,0.00,0.00,0.50,1.56,0.25
50.20,1.00,44.00,0.56,1.68,0.33
6.90,0.00,0.00,0.45,1.72,0.26
62.00,0.00,32.00,0.43,1.55,0.26
41.00,0.00,11.00,0.68,1.79,0.24
79.00,0.00,49.00,0.46,1.65,0.25
18.60,0.00,0.00,0.51,1.83,0.29
55.00,0.00,25.00,0.45,1.62,0.25
21.10,0.00,0.00,0.40,1.66,0.26
83.30,1.00,68.00,0.42,1.57,0.25
80.00,0.00,50.00,0.59,1.58,0.21
27.20,0.00,0.00,0.83,1.59,0.16
23.20,0.00,0.00,0.72,1.82,0.42
51.00,0.00,21.00,0.43,1.73,0.27
83.00,0.00,53.00,0.69,1.72,0.25
101.00,0.00,71.00,0.64,1.58,0.21
17.40,0.00,0.00,0.91,1.59,0.17
26.20,1.00,18.00,0.77,1.70,0.23
74.00,0.00,44.00,0.32,1.59,0.31
30.00,0.00,0.00,0.58,1.63,0.24
99.00,0.00,69.00,0.55,1.52,0.18
30.00,0.00,0.00,0.95,1.74,0.29
49.00,0.00,19.00,0.44,1.58,0.25
8.40,0.00,0.00,0.68,1.56,0.22
73.00,0.00,43.00,0.38,1.67,0.28
8.80,0.00,0.00,0.90,1.73,0.20
53.00,0.00,23.00,0.44,1.56,0.27
30.00,0.00,0.00,0.51,1.83,0.29
44.00,0.00,14.00,0.34,1.55,0.27
22.60,0.00,0.00,0.82,1.66,0.25
59.00,0.00,29.00,0.65,1.60,0.23
30.00,0.00,0.00,0.51,1.64,0.23
30.00,0.00,0.00,0.72,1.64,0.26
58.00,0.00,28.00,0.37,1.55,0.28
53.00,0.00,23.00,0.38,1.55,0.24
65.00,0.00,35.00,0.34,1.64,0.28
44.00,0.00,14.00,0.42,1.70,0.26
78.70,1.00,62.00,0.82,1.57,0.17
29.60,1.00,18.00,0.88,1.67,0.24
55.30,1.00,27.00,0.43,1.66,0.26
19.20,1.00,0.00,0.85,1.81,0.49
14.40,0.00,0.00,0.42,1.84,0.40
66.00,0.00,36.00,0.49,1.67,0.24
41.00,0.00,11.00,0.48,1.61,0.26
60.00,0.00,30.00,0.55,1.72,0.25
76.00,0.00,46.00,0.32,1.56,0.27
30.00,0.00,0.00,0.60,1.63,0.24
12.70,0.00,0.00,0.32,1.71,0.28
58.00,0.00,28.00,0.32,1.69,0.29
77.80,1.00,62.00,0.82,1.56,0.17
61.00,0.00,31.00,0.43,1.73,0.26
33.00,0.00,3.00,0.46,1.63,0.26
67.00,0.00,37.00,0.59,1.83,0.26
29.50,0.00,0.00,0.66,1.54,0.18
50.00,0.00,20.00,0.43,1.61,0.24
6.20,0.00,0.00,0.94,1.63,0.17
30.00,0.00,0.00,0.98,1.76,0.21
53.00,0.00,23.00,0.46,1.69,0.26
45.00,0.00,15.00,0.62,1.53,0.16
44.00,0.00,14.00,0.45,1.66,0.26
60.00,0.00,30.00,0.59,1.58,0.22
30.00,0.00,0.00,0.57,1.78,0.27
51.40,1.00,34.00,0.33,1.65,0.29
30.00,0.00,0.00,0.36,1.54,0.27
6.70,0.00,0.00,0.30,1.57,0.29
50.00,0.00,20.00,0.80,1.79,0.46
23.10,1.00,9.00,0.42,1.88,0.41
79.00,0.00,49.00,0.60,1.74,0.25
43.00,0.00,13.00,0.51,1.64,0.22
45.00,0.00,15.00,0.45,1.67,0.25
20.40,1.00,0.00,0.71,1.54,0.15
30.00,0.00,0.00,1.03,1.76,0.21
5.60,0.00,0.00,0.57,1.53,0.19
12.70,0.00,0.00,0.56,1.54,0.20
56.00,0.00,26.00,0.52,1.65,0.22
69.00,0.00,39.00,0.61,1.55,0.21
47.00,0.00,17.00,0.56,1.73,0.24
50.00,0.00,20.00,0.56,1.53,0.19
85.00,0.00,55.00,0.45,1.55,0.27
16.20,0.00,0.00,1.11,1.63,0.20
12.10,0.00,0.00,0.54,1.55,0.18
44.00,0.00,14.00,0.42,1.70,0.25
1.10,0.00,0.00,0.58,1.67,0.27
12.30,0.00,0.00,0.97,1.76,0.23
51.00,0.00,21.00,0.39,1.66,0.27
23.10,1.00,0.00,1.03,1.77,0.30
59.00,0.00,29.00,0.41,1.68,0.26
86.00,0.00,56.00,0.55,1.71,0.24
79.00,0.00,49.00,0.47,1.66,0.25
64.00,0.00,34.00,0.33,1.65,0.29
9.90,1.00,0.00,0.54,1.54,0.18
38.00,0.00,8.00,0.37,1.67,0.30
50.00,0.00,20.00,0.56,1.53,0.19
30.00,0.00,0.00,1.04,1.63,0.18
15.60,0.00,0.00,0.32,1.59,0.31
70.00,0.00,40.00,0.52,1.70,0.23
46.50,1.00,28.00,0.34,1.57,0.26
75.00,0.00,45.00,0.34,1.56,0.25
26.00,1.00,0.00,0.94,1.63,0.30
30.00,0.00,0.00,0.60,1.75,0.24
18.60,0.00,0.00,0.52,1.70,0.30
69.00,0.00,39.00,0.66,1.52,0.19
14.80,1.00,14.00,0.41,1.51,0.26
30.00,0.00,0.00,0.60,1.57,0.20
67.00,0.00,37.00,0.56,1.74,0.25
47.00,0.00,17.00,0.68,1.51,0.15
66.00,0.00,36.00,0.47,1.65,0.24
51.00,0.00,21.00,0.35,1.64,0.31
21.70,1.00,0.00,0.93,1.69,0.25
60.00,0.00,30.00,0.33,1.66,0.28
69.00,0.00,39.00,0.46,1.72,0.27
79.70,1.00,71.00,0.51,1.63,0.26
49.00,0.00,19.00,0.78,1.54,0.17
66.00,0.00,36.00,0.32,1.59,0.28
60.20,1.00,52.00,0.51,1.64,0.27
45.70,1.00,33.00,0.62,1.62,0.23
4.90,0.00,0.00,0.77,1.76,0.37
51.70,1.00,42.00,0.66,1.80,0.38
58.00,0.00,28.00,0.34,1.56,0.25
49.00,0.00,19.00,0.34,1.60,0.27
75.00,0.00,45.00,0.34,1.56,0.25
30.00,0.00,0.00,0.66,1.52,0.19
7.70,0.00,0.00,0.84,1.60,0.16
91.00,0.00,61.00,0.37,1.66,0.28
13.30,0.00,0.00,0.82,1.57,0.17
22.40,1.00,0.00,0.80,1.79,0.42
44.00,0.00,14.00,0.44,1.72,0.28
13.60,0.00,0.00,0.88,1.82,0.41
60.00,0.00,30.00,0.43,1.66,0.24
63.00,0.00,33.00,0.32,1.73,0.28
74.00,0.00,44.00,0.41,1.82,0.39
62.00,0.00,32.00,0.35,1.64,0.31
61.00,0.00,31.00,0.88,1.70,0.19
68.00,0.00,38.00,0.60,1.67,0.24
70.00,0.00,40.00,0.51,1.70,0.24
70.00,0.00,40.00,0.39,1.58,0.27
71.00,0.00,41.00,0.35,1.59,0.27
87.00,0.00,57.00,0.36,1.57,0.25
8.80,0.00,0.00,0.34,1.55,0.27
13.50,0.00,0.00,0.51,1.57,0.21
65.10,1.00,42.00,0.43,1.71,0.27
61.00,0.00,31.00,0.57,1.54,0.18
48.00,0.00,18.00,0.85,1.89,0.26
85.00,0.00,55.00,0.39,1.58,0.26
0.50,0.00,0.00,0.65,1.53,0.20
44.00,0.00,14.00,0.44,1.71,0.26
55.00,0.00,25.00,0.41,1.52,0.27
64.00,0.00,34.00,0.41,1.70,0.27
71.00,0.00,41.00,0.61,1.49,0.15
72.00,0.00,42.00,0.38,1.68,0.28
43.80,1.00,26.00,0.60,1.74,0.25
88.00,0.00,58.00,0.62,1.68,0.23
7.80,0.00,0.00,0.97,1.63,0.30
30.00,0.00,0.00,0.32,1.59,0.31
64.00,0.00,34.00,0.41,1.71,0.27
43.00,0.00,13.00,0.32,1.61,0.28
80.80,1.00,67.00,0.58,1.67,0.27
78.70,1.00,71.00,0.50,1.62,0.26
80.00,0.00,50.00,0.38,1.66,0.28
30.00,0.00,0.00,0.43,1.72,0.26
0.70,0.00,0.00,0.49,1.64,0.22
58.40,1.00,36.00,0.51,1.70,0.24
43.00,0.00,13.00,0.31,1.60,0.28
62.00,0.00,32.00,0.55,1.58,0.26
42.00,0.00,12.00,0.34,1.62,0.26
89.70,1.00,61.00,0.35,1.64,0.30
47.00,0.00,17.00,0.53,1.64,0.22
33.00,0.00,3.00,0.46,1.66,0.26
50.00,0.00,20.00,0.40,1.58,0.24
52.00,0.00,22.00,0.43,1.61,0.24
91.00,0.00,61.00,0.35,1.59,0.27
51.00,0.00,21.00,0.41,1.68,0.26
30.00,0.00,0.00,0.83,1.65,0.18
21.30,0.00,0.00,0.51,1.63,0.26
18.10,1.00,10.00,1.22,1.77,0.23
38.00,0.00,8.00,0.53,1.54,0.17
69.00,0.00,39.00,0.34,1.61,0.27
43.00,0.00,13.00,0.42,1.70,0.26
31.00,0.00,1.00,0.62,1.60,0.26
50.00,0.00,20.00,0.48,1.67,0.24
73.00,0.00,43.00,0.38,1.67,0.28
28.30,1.00,15.00,0.40,1.69,0.28
68.00,0.00,38.00,0.45,1.64,0.25
61.00,0.00,31.00,0.36,1.66,0.32
63.00,0.00,33.00,0.46,1.69,0.26
32.00,0.00,2.00,0.57,1.66,0.24
59.00,0.00,29.00,0.53,1.62,0.22
50.00,0.00,20.00,0.54,1.59,0.21
30.00,0.00,0.00,0.66,1.51,0.17
51.00,0.00,21.00,0.49,1.63,0.26
59.00,0.00,29.00,0.38,1.66,0.30
69.20,1.00,57.00,0.40,1.58,0.24
21.40,1.00,21.00,0.49,1.63,0.26
43.00,0.00,13.00,0.43,1.66,0.24
43.00,0.00,13.00,0.31,1.59,0.28
17.30,0.00,0.00,0.67,1.52,0.19
30.00,0.00,0.00,0.70,1.51,0.15
29.90,1.00,26.00,1.10,1.76,0.24
44.00,0.00,14.00,0.46,1.67,0.26
40.00,0.00,10.00,0.93,1.73,0.20
58.00,0.00,28.00,0.36,1.54,0.28
79.00,0.00,49.00,0.44,1.73,0.28
85.00,0.00,55.00,0.39,1.57,0.28
51.00,0.00,21.00,0.51,1.64,0.27
36.20,1.00,20.00,0.87,1.68,0.37
51.00,0.00,21.00,0.49,1.64,0.25
65.00,0.00,35.00,0.36,1.64,0.30
80.00,0.00,50.00,0.59,1.58,0.22
71.00,0.00,41.00,0.59,1.50,0.15
30.00,0.00,0.00,0.45,1.70,0.26
54.30,1.00,44.00,0.38,1.74,0.35
69.00,0.00,39.00,0.37,1.56,0.28
48.00,0.00,18.00,0.66,1.50,0.16
68.20,1.00,53.00,0.60,1.67,0.23
44.00,0.00,14.00,0.54,1.66,0.23
6.70,0.00,0.00,1.48,1.73,0.27
19.60,0.00,0.00,0.44,1.73,0.27
50.20,1.00,31.00,0.43,1.73,0.27
63.00,0.00,33.00,0.56,1.54,0.20
49.00,0.00,19.00,0.34,1.60,0.27
108.00,0.00,78.00,0.56,1.68,0.33
50.00,0.00,20.00,1.00,1.77,0.21
55.70,1.00,46.00,0.64,1.69,0.23
63.00,0.00,33.00,0.32,1.66,0.28
8.10,1.00,0.00,0.60,1.70,0.36
23.50,1.00,0.00,0.73,1.55,0.15
58.00,0.00,28.00,0.33,1.57,0.27
4.80,0.00,0.00,0.45,1.66,0.24
30.00,0.00,0.00,0.69,1.55,0.19
5.30,1.00,0.00,0.82,1.60,0.16
83.00,0.00,53.00,0.63,1.70,0.24
18.70,1.00,15.00,0.71,1.65,0.30
97.80,1.00,77.00,0.39,1.61,0.24
71.00,0.00,41.00,0.46,1.74,0.27
94.00,0.00,64.00,0.50,1.80,0.28
48.00,0.00,18.00,0.87,1.65,0.24
87.00,0.00,57.00,0.39,1.58,0.24
34.00,0.00,4.00,0.32,1.79,0.28
51.00,0.00,21.00,0.49,1.63,0.26
13.10,1.00,0.00,0.82,1.67,0.25
59.00,0.00,29.00,0.59,1.70,0.28
65.00,0.00,35.00,0.32,1.59,0.30
74.00,0.00,44.00,0.37,1.74,0.35
30.00,0.00,0.00,0.66,1.52,0.19
50.00,0.00,20.00,0.73,1.52,0.18
83.00,0.00,53.00,0.69,1.75,0.25
101.00,0.00,71.00,0.39,1.60,0.24
43.00,0.00,13.00,0.79,1.57,0.16
72.00,0.00,42.00,0.55,1.70,0.23
72.00,0.00,42.00,0.42,1.85,0.40
5.10,0.00,0.00,1.06,1.78,0.29
78.00,0.00,48.00,0.45,1.71,0.27
30.00,0.00,0.00,0.56,1.51,0.16
15.50,0.00,0.00,0.59,1.58,0.26
30.00,0.00,0.00,0.76,1.58,0.15
59.00,0.00,29.00,0.47,1.67,0.25
85.70,1.00,58.00,0.62,1.74,0.24
64.00,0.00,34.00,0.34,1.61,0.31
2.60,0.00,0.00,0.50,1.68,0.28
30.00,0.00,0.00,0.79,1.57,0.16
34.50,1.00,32.00,0.47,1.64,0.26
44.00,0.00,14.00,0.45,1.66,0.26
10.00,0.00,0.00,0.71,1.57,0.19
44.00,0.00,14.00,0.46,1.59,0.23
12.70,1.00,0.00,0.83,1.57,0.16
30.00,0.00,0.00,0.38,1.66,0.27
17.90,0.00,0.00,1.12,1.64,0.18
69.00,0.00,39.00,0.56,1.57,0.26
91.00,0.00,61.00,0.35,1.72,0.33
10.60,0.00,0.00,0.89,1.59,0.18
87.00,0.00,57.00,0.38,1.57,0.24
91.30,1.00,76.00,0.47,1.64,0.26
19.90,0.00,0.00,0.67,1.68,0.23
72.00,0.00,42.00,0.45,1.82,0.39
24.00,0.00,0.00,0.64,1.70,0.24
7.80,1.00,0.00,1.48,1.73,0.27
47.00,0.00,17.00,0.49,1.70,0.30
30.00,0.00,0.00,0.57,1.50,0.16
30.00,0.00,0.00,0.46,1.63,0.26
30.00,0.00,0.00,0.66,1.52,0.18
47.00,0.00,17.00,0.62,1.57,0.22
1.20,0.00,0.00,0.67,1.54,0.18
99.00,0.00,69.00,0.63,1.50,0.17
44.40,1.00,15.00,0.41,1.68,0.26
43.00,0.00,13.00,0.58,1.69,0.35
16.70,1.00,14.00,0.46,1.67,0.26
64.00,0.00,34.00,0.40,1.69,0.27
46.00,0.00,16.00,0.70,1.72,0.25
51.60,1.00,43.00,0.67,1.61,0.28
83.00,0.00,53.00,0.76,1.62,0.28
61.00,0.00,31.00,0.47,1.64,0.24
43.00,0.00,13.00,0.50,1.64,0.22
4.10,0.00,0.00,0.39,1.67,0.28
101.00,0.00,71.00,0.41,1.64,0.24
78.50,1.00,60.00,0.58,1.68,0.27
41.00,0.00,11.00,0.46,1.73,0.28
69.00,0.00,39.00,0.57,1.68,0.23
74.00,0.00,44.00,0.32,1.60,0.28
91.40,1.00,71.00,0.51,1.64,0.26
72.30,1.00,51.00,0.32,1.63,0.31
45.00,0.00,15.00,0.53,1.69,0.23
34.00,0.00,4.00,0.60,1.52,0.16
55.90,1.00,33.00,0.51,1.65,0.24
9.70,0.00,0.00,0.52,1.81,0.29
30.00,0.00,0.00,0.82,1.56,0.17
31.10,1.00,13.00,0.44,1.66,0.24
74.00,0.00,44.00,0.38,1.67,0.29
86.00,0.00,56.00,0.57,1.71,0.24
58.00,0.00,28.00,0.32,1.64,0.28
22.90,0.00,0.00,0.51,1.63,0.30
83.00,0.00,53.00,0.83,1.69,0.22
7.90,0.00,0.00,0.48,1.55,0.27
48.00,0.00,18.00,0.57,1.68,0.23
30.00,0.00,0.00,0.54,1.57,0.19
4.30,0.00,0.00,0.50,1.83,0.28
17.50,0.00,0.00,0.61,1.50,0.17
48.00,0.00,18.00,0.46,1.62,0.24
61.70,1.00,37.00,0.44,1.69,0.28
81.90,1.00,53.00,0.52,1.57,0.20
30.00,0.00,0.00,0.70,1.50,0.17
58.00,0.00,28.00,0.47,1.68,0.25
50.00,0.00,20.00,0.40,1.58,0.27
61.00,0.00,31.00,0.35,1.62,0.31
59.00,0.00,29.00,0.67,1.61,0.24
86.90,1.00,64.00,0.48,1.76,0.28
30.00,0.00,0.00,0.86,1.81,0.40
58.00,0.00,28.00,0.39,1.58,0.27
28.20,1.00,0.00,0.75,1.59,0.23
5.20,0.00,0.00,0.54,1.69,0.23
50.00,0.00,20.00,0.43,1.73,0.27
92.00,0.00,62.00,0.68,1.53,0.19
91.00,0.00,61.00,0.35,1.64,0.30
37.90,1.00,14.00,0.43,1.71,0.25
30.00,0.00,0.00,0.46,1.73,0.26
78.00,0.00,48.00,0.47,1.75,0.28
30.00,0.00,0.00,0.50,1.68,0.28
37.40,1.00,19.00,0.70,1.52,0.19
69.00,0.00,39.00,0.66,1.52,0.19
69.00,0.00,39.00,0.36,1.55,0.28
64.00,0.00,34.00,0.37,1.65,0.30
0.60,0.00,0.00,1.48,1.73,0.27
85.00,0.00,55.00,0.38,1.54,0.28
3.80,0.00,0.00,0.60,1.67,0.24
83.00,0.00,53.00,0.44,1.69,0.28
24.80,0.00,0.00,0.39,1.69,0.28
72.00,0.00,42.00,0.65,1.80,0.37
71.00,0.00,41.00,0.59,1.50,0.16
49.00,0.00,19.00,0.67,1.60,0.28
8.10,1.00,0.00,0.34,1.60,0.31
69.00,0.00,39.00,0.53,1.57,0.18
53.00,0.00,23.00,0.35,1.60,0.27
75.80,1.00,66.00,0.47,1.63,0.23
70.00,0.00,40.00,0.38,1.58,0.24
22.30,0.00,0.00,1.06,1.78,0.29
51.00,0.00,21.00,0.40,1.67,0.27
41.80,1.00,17.00,0.64,1.55,0.22
68.20,1.00,42.00,0.71,1.82,0.41
41.00,0.00,11.00,0.50,1.61,0.27
85.00,0.00,55.00,0.48,1.61,0.27
16.70,0.00,0.00,0.82,1.68,0.22
30.70,1.00,11.00,0.58,1.68,0.33
16.40,0.00,0.00,0.40,1.66,0.27
42.00,0.00,12.00,0.33,1.61,0.27
72.00,0.00,42.00,0.36,1.61,0.25
47.00,0.00,17.00,0.56,1.68,0.23
75.20,1.00,71.00,0.56,1.67,0.29
37.00,0.00,7.00,0.75,1.67,0.30
53.60,1.00,53.00,0.66,1.84,0.25
30.00,0.00,0.00,0.54,1.58,0.18
98.00,0.00,68.00,0.36,1.63,0.28
30.00,0.00,0.00,0.66,1.52,0.19
30.00,0.00,0.00,0.54,1.83,0.29
60.70,1.00,48.00,0.51,1.74,0.27
56.70,1.00,55.00,0.48,1.62,0.28
88.00,0.00,58.00,0.63,1.68,0.23
42.00,0.00,12.00,0.57,1.68,0.28
71.00,0.00,41.00,0.36,1.60,0.25
21.30,1.00,11.00,0.79,1.54,0.18
9.50,1.00,0.00,1.29,1.68,0.25
48.00,1.00,31.00,0.53,1.67,0.29
79.00,0.00,49.00,0.55,1.67,0.32
72.00,0.00,42.00,0.54,1.74,0.25
67.00,0.00,37.00,0.90,1.59,0.17
26.40,0.00,0.00,0.80,1.59,0.16
51.30,1.00,23.00,0.40,1.58,0.24
32.00,0.00,2.00,0.58,1.63,0.25
41.00,1.00,15.00,0.53,1.70,0.23
30.00,0.00,0.00,0.59,1.57,0.20
63.00,0.00,33.00,0.51,1.65,0.24
47.00,0.00,17.00,0.50,1.71,0.30
85.90,1.00,60.00,0.58,1.69,0.28
69.00,0.00,39.00,0.43,1.64,0.27
35.80,1.00,17.00,0.64,1.54,0.22
49.00,0.00,19.00,0.74,1.73,0.25
32.50,1.00,19.00,0.80,1.66,0.24
16.20,0.00,0.00,0.58,1.68,0.23
30.00,0.00,0.00,0.32,1.59,0.31
62.00,0.00,32.00,0.48,1.65,0.27
30.00,0.00,0.00,0.35,1.63,0.31
84.00,0.00,54.00,0.45,1.62,0.25
30.00,0.00,0.00,0.32,1.59,0.32
98.00,0.00,68.00,0.50,1.83,0.28
63.00,0.00,33.00,0.43,1.70,0.27
50.10,1.00,21.00,0.43,1.73,0.27
92.00,0.00,62.00,0.82,1.59,0.18
30.00,0.00,0.00,0.53,1.83,0.29
